,5-way,5-way,5-way,10-way,10-way,10-way,15-way,15-way,15-way,20-way,20-way,20-way
,Before,After,Improvement,Before,After,Improvement,Before,After,Improvement,Before,After,Improvement
1-shot,65.17 +/- 0.18,65.59 +/- 0.18,0.41 +/- 0.02,50.38 +/- 0.11,50.64 +/- 0.11,0.26 +/- 0.01,42.65 +/- 0.08,42.85 +/- 0.08,0.20 +/- 0.01,37.56 +/- 0.07,37.76 +/- 0.07,0.20 +/- 0.00
5-shot,82.60 +/- 0.12,83.04 +/- 0.12,0.44 +/- 0.01,71.15 +/- 0.10,71.91 +/- 0.10,0.76 +/- 0.02,63.73 +/- 0.06,64.76 +/- 0.07,1.03 +/- 0.01,58.35 +/- 0.05,59.52 +/- 0.04,1.17 +/- 0.01
10-shot,86.82 +/- 0.10,87.04 +/- 0.09,0.22 +/- 0.01,77.34 +/- 0.08,77.87 +/- 0.08,0.52 +/- 0.01,70.87 +/- 0.05,71.71 +/- 0.05,0.84 +/- 0.01,66.06 +/- 0.03,67.12 +/- 0.03,1.06 +/- 0.01
