,5-way,5-way,5-way,10-way,10-way,10-way,15-way,15-way,15-way,20-way,20-way,20-way
,Before,After,Improvement,Before,After,Improvement,Before,After,Improvement,Before,After,Improvement
1-shot,74.96 +/- 0.20,75.03 +/- 0.19,0.07 +/- 0.01,61.46 +/- 0.13,61.49 +/- 0.13,0.03 +/- 0.00,53.45 +/- 0.10,53.47 +/- 0.10,0.02 +/- 0.00,47.78 +/- 0.07,47.79 +/- 0.07,0.01 +/- 0.00
5-shot,87.43 +/- 0.13,87.48 +/- 0.13,0.06 +/- 0.00,77.73 +/- 0.10,77.83 +/- 0.10,0.10 +/- 0.00,70.70 +/- 0.07,70.99 +/- 0.07,0.28 +/- 0.00,65.26 +/- 0.03,65.60 +/- 0.03,0.34 +/- 0.00
10-shot,89.83 +/- 0.12,89.88 +/- 0.11,0.05 +/- 0.00,81.52 +/- 0.09,81.64 +/- 0.09,0.11 +/- 0.00,75.37 +/- 0.06,75.71 +/- 0.06,0.34 +/- 0.00,70.57 +/- 0.02,70.99 +/- 0.02,0.42 +/- 0.00
